diseaseId,cluster
umls:C0019202,10
umls:C0007097,7
umls:C0162557,3
umls:C0019158,10
umls:C0023895,10
umls:C0919267,10
umls:C0023903,10
umls:C0009404,8
umls:C0015695,10
umls:C0022665,10
umls:C0023890,3
umls:C0242339,3
umls:C0026640,10
umls:C1168401,10
umls:C1458155,10
umls:C0012644,7
umls:C0242656,7
umls:C0031117,10
umls:C2239176,10
umls:C0026650,10
umls:C0022716,7
umls:C0018809,7
umls:C0016059,7
umls:C0024121,7
umls:C0003944,7
umls:C0001973,8
umls:C0268070,3
umls:C0302332,10
umls:C0029925,10
umls:C0878682,10
umls:C1140680,10
umls:C0677886,10
umls:C0012714,8
umls:C0006826,8
umls:C0265388,7
umls:C0085605,7
umls:C0152457,10
umls:C0007137,7
umls:C3825627,8
umls:C0263214,7
umls:C0221757,10
umls:C0242379,10
umls:C0206624,10
umls:C0009402,10
umls:C0684249,10
umls:C0345904,8
umls:C0220756,10
umls:C0268074,10
umls:C0041696,10
umls:C0013421,10
umls:C0279000,10
umls:C0393593,10
umls:C0019247,3
umls:C0027765,3
umls:C0242422,3
umls:C0017636,3
umls:C3501835,10
umls:C1527249,3
umls:C1319315,10
umls:C1269683,10
umls:C0600139,10
umls:C0028754,8
umls:C0020505,6
umls:C0020459,8
umls:C0021655,7
umls:C0005910,4
umls:C0001349,3
umls:C2750440,6
umls:C0020429,4
umls:C0376618,6
umls:C0149940,6
umls:C0011860,9
umls:C0028756,10
umls:C0020538,10
umls:C0497406,6
umls:C2240399,6
umls:C2911645,6
umls:C0043096,6
umls:C0524620,6
umls:C2267227,6
umls:C0206081,6
umls:C0037769,10
umls:C0518010,6
umls:C3645710,9
umls:C0011849,9
umls:C0006625,7
umls:C2362324,6
umls:C0006370,7
umls:C0520679,3
umls:C0004096,3
umls:C0043094,4
umls:C1272641,7
umls:C2911647,7
umls:C0024299,6
umls:C0003578,7
umls:C0041296,6
umls:C0027651,6
umls:C0021368,7
umls:C0920269,10
umls:C0009375,6
umls:C0034013,6
umls:C0039870,7
umls:C0017185,6
umls:C0023418,7
umls:C0242383,6
umls:C0011847,6
umls:C0311277,7
umls:C0020175,3
umls:C0003123,7
umls:C0003125,10
umls:C0271650,6
umls:C1561826,6
umls:C1263846,7
umls:C1306459,10
umls:C0678222,7
umls:C0006142,7
umls:C0267990,10
umls:C0004153,7
umls:C0003469,10
umls:C0025517,10
umls:C2675519,10
umls:C1281440,3
umls:C0041948,7
umls:C0033806,6
umls:C1883486,7
umls:C0025202,8
umls:C3494506,8
umls:C0032002,10
umls:C0007103,7
umls:C0003850,10
umls:C0476089,8
umls:C0032460,10
umls:C0036341,10
umls:C0011853,10
umls:C0033578,10
umls:C1956346,7
umls:C0032927,7
umls:C0007621,7
umls:C0020473,6
umls:C1840169,10
umls:C0022661,10
umls:C0400966,8
umls:C0243026,10
umls:C0029456,10
umls:C0007222,6
umls:C0376358,7
umls:C0011854,10
umls:C0010068,10
umls:C0010054,10
umls:C0020507,6
umls:C0002395,7
umls:C0085207,3
umls:C0030297,10
umls:C0032914,10
umls:C0029928,10
umls:C0019196,9
umls:C0948089,3
umls:C0007102,7
umls:C0342541,6
umls:C0041341,10
umls:C0042345,7
umls:C0001627,3
umls:C0015944,7
umls:C0022876,6
umls:C0014170,7
umls:C0005684,6
umls:C0014130,7
umls:C0151526,3
umls:C0001418,10
umls:C0008495,6
umls:C0026764,7
umls:C2919032,6
umls:C0024117,7
umls:C0027627,3
umls:C2939420,8
umls:C0699790,10
umls:C0178874,8
umls:C0025149,3
umls:C0004135,7
umls:C0596263,8
umls:C0585442,7
umls:C0029463,7
umls:C0026846,7
umls:C3714619,7
umls:C2939419,4
umls:C0007131,7
umls:C0020456,7
umls:C1516170,7
umls:C1377913,10
umls:C0035412,3
umls:C0001430,4
umls:C0010278,3
umls:C1511291,7
umls:C0020474,6
umls:C0085109,7
umls:C0007113,7
umls:C0277565,10
umls:C0494165,3
umls:C1458156,10
umls:C0812413,6
umls:C0175704,3
umls:C0206686,6
umls:C0235974,7
umls:C0155626,3
umls:C0920420,10
umls:C0019159,6
umls:C0346647,7
umls:C0040100,3
umls:C0342782,7
umls:C0037176,10
umls:C0007124,10
umls:C0085580,8
umls:C0280100,7
umls:C0338656,7
umls:C0679466,3
umls:C0598935,8
umls:C1569637,7
umls:C0856169,7
umls:C1519670,3
umls:C0035372,2
umls:C1968550,2
umls:C1846058,2
umls:C1845336,2
umls:C0036572,2
umls:C0004352,2
umls:C3714756,2
umls:C0162635,2
umls:C0026827,2
umls:C0008073,2
umls:C0034069,2
umls:C0008074,4
umls:C0376634,10
umls:C0033922,2
umls:C0027066,2
umls:C0035229,2
umls:C1968556,2
umls:C0236736,4
umls:C0023186,2
umls:C2748910,2
umls:C2677682,2
umls:C0015934,4
umls:C0007787,2
umls:C0025362,2
umls:C1136249,4
umls:C1535926,2
umls:C0024141,2
umls:C0014544,2
umls:C0025958,2
umls:C1510586,2
umls:C0085584,2
umls:C0004936,2
umls:C0036439,7
umls:C0016658,2
umls:C0024530,2
umls:C0036857,2
umls:C0235820,2
umls:C0006111,7
umls:C0030193,2
umls:C1138434,3
umls:C0424605,2
umls:C0524528,3
umls:C0000768,2
umls:C0235031,2
umls:C1846064,2
umls:C0038273,7
umls:C0751265,2
umls:C0032897,2
umls:C0700095,2
umls:C0027819,7
umls:C0543888,2
umls:C0013080,7
umls:C0018817,7
umls:C0019163,7
umls:C0271091,8
umls:C0004134,10
umls:C0003873,6
umls:C0432072,2
umls:C0032339,2
umls:C1306341,3
umls:C0026838,6
umls:C0026351,2
umls:C0024138,2
umls:C0016667,4
umls:C1841691,6
umls:C0278061,3
umls:C0024131,7
umls:C0035934,4
umls:C0004364,6
umls:C1845055,10
umls:C2931847,2
umls:C1145670,2
umls:C0268301,10
umls:C0699791,10
umls:C0409974,7
umls:C2931498,10
umls:C0344482,2
umls:C0856975,4
umls:C0559260,4
umls:C0026106,3
umls:C0024623,10
umls:C0700208,4
umls:C0035243,6
umls:C3698239,10
umls:C0018418,7
umls:C0008350,9
umls:C0026946,6
umls:C0011633,7
umls:C0239946,3
umls:C0039231,6
umls:C0021051,7
umls:C0011581,7
umls:C0032064,4
umls:C0750197,10
umls:C0038443,10
umls:C0153594,3
umls:C0221056,7
umls:C0340486,7
umls:C0037932,3
umls:C0004930,7
umls:C0231341,10
umls:C0039483,7
umls:C0546256,10
umls:C0034494,10
umls:C0270814,6
umls:C0242723,3
umls:C0812393,7
umls:C0851578,7
umls:C0155552,7
umls:C0014556,7
umls:C0162429,7
umls:C0024143,7
umls:C0037317,3
umls:C0036421,7
umls:C0729582,8
umls:C1800706,10
umls:C0007138,10
umls:C0349251,8
umls:C1858723,10
umls:C1839332,2
umls:C0007130,6
umls:C3713418,2
umls:C0086692,7
umls:C0015923,7
umls:C0392777,7
umls:C0281361,7
umls:C2985290,10
umls:C0011570,7
umls:C3812887,10
umls:C0694550,10
umls:C1709246,10
umls:C0024140,3
umls:C0010674,4
umls:C0403814,7
umls:C0238339,7
umls:C0030305,7
umls:C0149521,7
umls:C0021364,3
umls:C0004509,6
umls:C0037199,6
umls:C0035455,4
umls:C0019284,4
umls:C0236969,3
umls:C2749757,8
umls:C0008370,3
umls:C0013295,8
umls:C0151744,4
umls:C0085548,7
umls:C0024115,8
umls:C0267963,7
umls:C0008313,7
umls:C0028960,8
umls:C0033817,7
umls:C0376670,8
umls:C3714514,4
umls:C0006267,6
umls:C0027430,8
umls:C0042063,8
umls:C2825055,8
umls:C0030286,4
umls:C0036868,8
umls:C0085413,8
umls:C0021390,8
umls:C0041466,8
umls:C0017178,4
umls:C0341471,8
umls:C0747198,7
umls:C0004623,8
umls:C0010346,3
umls:C1258215,2
umls:C0038238,8
umls:C0950123,8
umls:C0018273,6
umls:C0266270,8
umls:C0030293,8
umls:C0010709,8
umls:C0036202,8
umls:C0876973,8
umls:C2936423,8
umls:C0221002,8
umls:C0001339,4
umls:C0022521,8
umls:C0035242,7
umls:C0085129,7
umls:C0010417,10
umls:C0566602,7
umls:C0003130,4
umls:C0341439,4
umls:C0009373,7
umls:C0278996,8
umls:C0020523,6
umls:C3714509,3
umls:C0024959,8
umls:C0403823,7
umls:C0026918,7
umls:C0022735,7
umls:C0020517,7
umls:C0021361,6
umls:C0023892,7
umls:C0000772,7
umls:C0342257,6
umls:C0282677,3
umls:C0423772,10
umls:C0036205,7
umls:C0030469,7
umls:C0015929,7
umls:C0038160,7
umls:C0021933,8
umls:C0008087,8
umls:C0033677,8
umls:C0016169,8
umls:C0011334,8
umls:C2936858,4
umls:C0270246,8
umls:C2939175,8
umls:C0546982,8
umls:C0854135,8
umls:C0032285,4
umls:C0011991,4
umls:C0008677,2
umls:C0149516,8
umls:C0004031,8
umls:C0266444,8
umls:C0267937,7
umls:C0392164,7
umls:C0022680,6
umls:C0375023,2
umls:C0746102,8
umls:C0011175,4
umls:C0008354,8
umls:C0037090,7
umls:C0006277,2
umls:C0600260,4
umls:C0015230,3
umls:C0266292,8
umls:C1567435,8
umls:C0699949,8
umls:C0001486,8
umls:C0542519,8
umls:C0267557,8
umls:C0024523,8
umls:C1527396,8
umls:C1609433,6
umls:C0021400,4
umls:C1335302,3
umls:C0151317,6
umls:C0162565,8
umls:C0220983,10
umls:C0012242,8
